,samples,exp_cond,genotype,time,identity
1,star_neg_LD_1,LD,star_neg,LD,star_neg_LD
2,star_neg_LD_2,LD,star_neg,LD,star_neg_LD
3,star_neg_LD_3,LD,star_neg,LD,star_neg_LD
4,star_neg_LD_4,LD,star_neg,LD,star_neg_LD
5,star_neg_LD_5,LD,star_neg,LD,star_neg_LD
6,star_neg_d120_1,basal,star_neg,d120,star_neg_d120
7,star_neg_d120_2,basal,star_neg,d120,star_neg_d120
8,star_neg_d120_3,basal,star_neg,d120,star_neg_d120
9,star_neg_d120_4,basal,star_neg,d120,star_neg_d120
10,star_neg_d120_5,basal,star_neg,d120,star_neg_d120
11,star_neg_d13_1,basal,star_neg,d13,star_neg_d13
12,star_neg_d13_2,basal,star_neg,d13,star_neg_d13
13,star_neg_d13_3,basal,star_neg,d13,star_neg_d13
14,star_neg_d13_4,basal,star_neg,d13,star_neg_d13
15,star_neg_d13_5,basal,star_neg,d13,star_neg_d13
16,star_neg_d6_1,basal,star_neg,d6,star_neg_d6
17,star_neg_d6_2,basal,star_neg,d6,star_neg_d6
18,star_neg_d6_3,basal,star_neg,d6,star_neg_d6
19,star_neg_d6_4,basal,star_neg,d6,star_neg_d6
20,star_neg_d6_5,basal,star_neg,d6,star_neg_d6
21,star_pos_LD_1,LD,star_pos,LD,star_pos_LD
22,star_pos_LD_2,LD,star_pos,LD,star_pos_LD
23,star_pos_LD_3,LD,star_pos,LD,star_pos_LD
24,star_pos_LD_4,LD,star_pos,LD,star_pos_LD
25,star_pos_LD_5,LD,star_pos,LD,star_pos_LD
26,star_pos_d120_1,basal,star_pos,d120,star_pos_d120
27,star_pos_d120_2,basal,star_pos,d120,star_pos_d120
28,star_pos_d120_3,basal,star_pos,d120,star_pos_d120
29,star_pos_d120_4,basal,star_pos,d120,star_pos_d120
30,star_pos_d120_5,basal,star_pos,d120,star_pos_d120
31,star_pos_d13_1,basal,star_pos,d13,star_pos_d13
32,star_pos_d13_2,basal,star_pos,d13,star_pos_d13
33,star_pos_d13_3,basal,star_pos,d13,star_pos_d13
34,star_pos_d13_4,basal,star_pos,d13,star_pos_d13
35,star_pos_d13_5,basal,star_pos,d13,star_pos_d13
36,star_pos_d6_1,basal,star_pos,d6,star_pos_d6
37,star_pos_d6_2,basal,star_pos,d6,star_pos_d6
38,star_pos_d6_3,basal,star_pos,d6,star_pos_d6
39,star_pos_d6_4,basal,star_pos,d6,star_pos_d6
40,star_pos_d6_5,basal,star_pos,d6,star_pos_d6
41,tu_wt_LD_1,LD,tu_wt,LD,tu_wt_LD
42,tu_wt_LD_2,LD,tu_wt,LD,tu_wt_LD
43,tu_wt_LD_3,LD,tu_wt,LD,tu_wt_LD
44,tu_wt_LD_4,LD,tu_wt,LD,tu_wt_LD
45,tu_wt_LD_5,LD,tu_wt,LD,tu_wt_LD
46,tu_wt_d120_1,basal,tu_wt,d120,tu_wt_d120
47,tu_wt_d120_2,basal,tu_wt,d120,tu_wt_d120
48,tu_wt_d120_3,basal,tu_wt,d120,tu_wt_d120
49,tu_wt_d120_4,basal,tu_wt,d120,tu_wt_d120
50,tu_wt_d120_5,basal,tu_wt,d120,tu_wt_d120
51,tu_wt_d13_1,basal,tu_wt,d13,tu_wt_d13
52,tu_wt_d13_2,basal,tu_wt,d13,tu_wt_d13
53,tu_wt_d13_3,basal,tu_wt,d13,tu_wt_d13
54,tu_wt_d13_4,basal,tu_wt,d13,tu_wt_d13
55,tu_wt_d13_5,basal,tu_wt,d13,tu_wt_d13
56,tu_wt_d6_1,basal,tu_wt,d6,tu_wt_d6
57,tu_wt_d6_2,basal,tu_wt,d6,tu_wt_d6
58,tu_wt_d6_3,basal,tu_wt,d6,tu_wt_d6
59,tu_wt_d6_4,basal,tu_wt,d6,tu_wt_d6
60,tu_wt_d6_5,basal,tu_wt,d6,tu_wt_d6
