,Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,source,n.deg,gene.in.catg,ratio.catg
1,d6,GO:0071466,cellular response to xenobiotic stimulus,13/472,79/17935,1.34E-07,0.000253577,0.000235545,cyp2k6/cyp2p8/sult1st2/apobb.1/sult1st3/cyp2k19/cyp2k18/sult6b1/cyp2y3/cyp2n13/cyp2aa12/cyb5a/cyp2p9,13,bp_up,472,79,0.164556962
4,d6,GO:0006790,sulfur compound metabolic process,19/472,201/17935,1.60E-06,0.000688791,0.000639811,sult1st2/acsl5/sult1st3/acot19/gsta.2/gsta.1/sult6b1/acot14/gpx1b/sult2st2/mat2al/papss2a/sult1st6/tpk1/zgc:172121/sult2st1/fitm2/chac1/zgc:110319,19,bp_up,472,201,0.094527363
5,d6,GO:1901615,organic hydroxy compound metabolic process,20/472,222/17935,1.82E-06,0.000688791,0.000639811,pck1/apoea/hsd11b2/sult1st2/apoa1a/sult1st3/itpk1a/cyb5r2/itpkcb/ttpa/sptlc3/nfe2l2b/pck2/dhrs9/insig1/bpnt1/cyp27a1.2/cyp27a1.4/gch2/qdpra,20,bp_up,472,222,0.09009009
9,d6,GO:0008202,steroid metabolic process,12/472,109/17935,2.98E-05,0.004041581,0.003754186,apoea/hsd11b2/sult1st2/apoa1a/sult1st3/srd5a2a/cyb5r2/nfe2l2b/hsd17b12a/insig1/cyp27a1.2/cyp27a1.4,12,bp_up,472,109,0.110091743
14,d13,GO:0022402,cell cycle process,55/629,529/17935,5.16E-13,1.10E-09,1.04E-09,cenps/foxm1/ccne2/esco2/trip13/sass6/rab11fip4b/e2f7/cep152/gins1/rmi2/si:dkey-57a22.11/ddx11/chek1/mis12/chtf8/skp2/fbxl8/dbf4b/cdk2/haus1/sycp1/cenpk/si:dkey-30c15.10/chek2/syce2/ncaph2/lzts1/cetn2/ddias/bub1bb/racgap1/cdkn1d/haus4/si:dkey-249d8.1/cep72/ncapg/msh4/haus6/ncapg2/cdc45/jtb/dscc1/mus81/cenpf/orc3/npm1b/gins3/sept9b/ccsapb/psmc3ip/phkg1b/lats1/prc1b/haus3,55,bp_up,629,529,0.103969754
15,d13,GO:0007059,chromosome segregation,24/629,168/17935,4.98E-09,3.98E-06,3.77E-06,cenps/esco2/trip13/rmi2/si:dkey-57a22.11/ddx11/mis12/chtf8/sycp1/cenpw/ciao2a/cenpk/syce2/banf1/si:dkey-6i22.5/ncaph2/bub1bb/ncapg/msh4/ncapg2/dscc1/mus81/cenpf/prc1b,24,bp_up,629,168,0.142857143
18,d13,GO:0006259,DNA metabolic process,42/629,464/17935,2.03E-08,7.17E-06,6.79E-06,cenps/trip13/ube2t/gins1/rmi2/nudt1/ddx11/gins4/orc4/sycp1/prim1/fancg/fancl/tert/fanci/uhrf1/cetn2/si:dkey-14d8.1/unga/si:dkey-249d8.1/msh2/msh4/cdc45/rbbp8/wdhd1/rad23ab/primpol/nsmce1/mus81/ten1/orc3/pms2/gins3/mcm9/terf1/zgc:110269/tk1/orc6/ube2al/psmc3ip/swi5/ctc1,42,bp_up,629,464,0.090517241
19,d13,GO:1903047,mitotic cell cycle process,32/629,317/17935,8.60E-08,2.61E-05,2.47E-05,foxm1/ccne2/sass6/e2f7/gins1/si:dkey-57a22.11/chek1/mis12/chtf8/skp2/fbxl8/cdk2/cenpk/si:dkey-30c15.10/chek2/ncaph2/lzts1/bub1bb/racgap1/si:dkey-249d8.1/ncapg/ncapg2/cdc45/jtb/dscc1/mus81/cenpf/gins3/ccsapb/phkg1b/lats1/prc1b,32,bp_up,629,317,0.100946372
33,d120,GO:0022613,ribonucleoprotein complex biogenesis,68/568,322/17935,1.01E-36,1.74E-33,1.57E-33,snrpg/pak1ip1/rpl7l1/nifk/utp11/snrpd3l/snrpf/ppan/ebna1bp2/snrpe/kri1/mrto4/snu13b/mpv17l2/nop16/fcf1/npm1a/c1d/pin4/snrpd2/trnau1apa/gnl3l/rrs1/snrpd1/dkc1/exosc9/polr1d/mrpl22/gemin2/ptges3a/pop4/rbfa/exosc2/trmt112/ngdn/snrpd3/rrp36/ybey/exosc7/wdr55/nhp2/nip7/zcchc4/rpl38/utp3/exosc8/rpl5a/polr1c/riok2/ruvbl1/ptges3b/rexo4/mrpl1/mcts1/dimt1l/eif3ja/emg1/mterf3/rps28/mphosph6/rps21/rps8a/eri1/nudt21/trnau1apb/rsl24d1/mak16/mrps11,68,bp_up,568,322,0.211180124
37,d120,GO:0006518,peptide metabolic process,68/568,505/17935,1.98E-24,6.79E-22,6.09E-22,uqcc2/gstm.3/eif1b/srp9/mrps18c/rpp30/mrps21/tma7/trnau1apa/mrpl24/mrpl32/mrps18b/mrpl22/chchd1/spcs1/mrps15/mrpl14/rpl22/mrpl35/ngdn/magoh/rps17/rps15a/yars1/spcs3/rpl32/rps20/sec11a/cnbpa/usp16/eif1axa/rps24/coa3a/rpl39/rpl38/immp2l/gstm.1/carnmt1/rpl31/rpl5a/mrpl33/zgc:171480/rps18/eif2s1a/mrpl17/mrpl52/mettl17/mrpl23/mcts1/mrpl27/rpl11/eif3ja/mrpl30/rpl36a/rps28/rps21/rps8a/rpl27/mrps23/rps3a/trnau1apb/rsl24d1/dph5/mrps11/rpl28/mrps16/rpl23/rwdd1,68,bp_up,568,505,0.134653465
