GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024QZ57	CLN8	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9QUK3|ensembl:ENSMUSP00000027554	9606	Ensembl		P
UniProtKB	A0A024QZM3	EIF4EBP2	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P70445|ensembl:ENSMUSP00000020288	9606	Ensembl		P
UniProtKB	A0A0S2Z3A9	BBS4	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8C1Z7|ensembl:ENSMUSP00000026265	9606	Ensembl		P
UniProtKB	A0A0S2Z3V5	GAD1	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P48318|ensembl:ENSMUSP00000092539	9606	Ensembl		P
UniProtKB	A0A0U1RQS4	SHANK3	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q4ACU6|ensembl:ENSMUSP00000104932	9606	Ensembl		P
UniProtKB	A0A140VKC4	MECP2	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Z2D6|ensembl:ENSMUSP00000033770	9606	Ensembl		P
UniProtKB	B2R9L7	OXTR	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P70536|ensembl:ENSRNOP00000007724	9606	Ensembl		P
UniProtKB	B6ZGT9	NR2E1	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q64104|ensembl:ENSMUSP00000019938	9606	Ensembl		P
UniProtKB	F6KD01	PTEN	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O08586|ensembl:ENSMUSP00000013807	9606	Ensembl		P
UniProtKB	O14640	DVL1	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P51141|ensembl:ENSMUSP00000030948	9606	Ensembl		P
UniProtKB	O43435	TBX1	involved_in	GO:0035176	social behavior	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P70323	9606	UniProt		P
UniProtKB	O60477	BRINP1	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q920P3|ensembl:ENSMUSP00000030036	9606	Ensembl		P
UniProtKB	P01178	OXT	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01179|ensembl:ENSRNOP00000028829	9606	Ensembl		P
UniProtKB	P01185	AVP	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01186|ensembl:ENSRNOP00000028833	9606	Ensembl		P
UniProtKB	P07101	TH	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P04177|ensembl:ENSRNOP00000027682	9606	Ensembl		P
UniProtKB	P07492	GRP	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8R1I2|ensembl:ENSMUSP00000025395	9606	Ensembl		P
UniProtKB	P0C7T5	ATXN1L	involved_in	GO:0035176	social behavior	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P0C7T6	9606	UniProt		P
UniProtKB	P0C7T5	ATXN1L	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P0C7T6|ensembl:ENSMUSP00000090850	9606	Ensembl		P
UniProtKB	P17787	CHRNB2	involved_in	GO:0035176	social behavior	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9ERK7	9606	UniProt		P
UniProtKB	P21917	DRD4	involved_in	GO:0035176	social behavior	ECO:0000303	NAS	PMID:11409696		9606	BHF-UCL		P
UniProtKB	P21917	DRD4	involved_in	GO:0035176	social behavior	ECO:0000303	NAS	PMID:11126393		9606	BHF-UCL		P
UniProtKB	P30550	GRPR	involved_in	GO:0035176	social behavior	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P21729	9606	UniProt		P
UniProtKB	P30550	GRPR	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P52500|ensembl:ENSRNOP00000005559	9606	Ensembl		P
UniProtKB	P30550	GRPR	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P21729|ensembl:ENSMUSP00000033730	9606	Ensembl		P
UniProtKB	P30559	OXTR	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P70536|ensembl:ENSRNOP00000007724	9606	Ensembl		P
UniProtKB	P31645	SLC6A4	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q60857|ensembl:ENSMUSP00000104039	9606	Ensembl		P
UniProtKB	P31645	SLC6A4	involved_in	GO:0035176	social behavior	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q60857	9606	BHF-UCL		P
UniProtKB	P35462	DRD3	involved_in	GO:0035176	social behavior	ECO:0000303	NAS	PMID:12860355		9606	BHF-UCL		P
UniProtKB	P37288	AVPR1A	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P30560|ensembl:ENSRNOP00000005829	9606	Ensembl		P
UniProtKB	P49238	CX3CR1	involved_in	GO:0035176	social behavior	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9Z0D9	9606	ARUK-UCL	occurs_in(UBERON:0034920)|occurs_in(UBERON:0007023)	P
UniProtKB	P49238	CX3CR1	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Z0D9|ensembl:ENSMUSP00000150463	9606	Ensembl		P
UniProtKB	P51608	MECP2	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Z2D6|ensembl:ENSMUSP00000033770	9606	Ensembl		P
UniProtKB	P51787	KCNQ1	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P97414|ensembl:ENSMUSP00000009689	9606	Ensembl		P
UniProtKB	P54253	ATXN1	involved_in	GO:0035176	social behavior	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P54254	9606	UniProt		P
UniProtKB	P55089	UCN	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P55090|ensembl:ENSRNOP00000008037	9606	Ensembl		P
UniProtKB	P58400	NRXN1	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:17034946		9606	BHF-UCL		P
UniProtKB	P60484	PTEN	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O08586|ensembl:ENSMUSP00000013807	9606	Ensembl		P
UniProtKB	P60484	PTEN	involved_in	GO:0035176	social behavior	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:O08586	9606	BHF-UCL		P
UniProtKB	P78352	DLG4	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62108|ensembl:ENSMUSP00000104230	9606	Ensembl		P
UniProtKB	Q05925	EN1	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P09065|ensembl:ENSMUSP00000078659	9606	Ensembl		P
UniProtKB	Q13387	MAPK8IP2	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9ERE9|ensembl:ENSMUSP00000023291	9606	Ensembl		P
UniProtKB	Q13387	MAPK8IP2	involved_in	GO:0035176	social behavior	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9ERE9	9606	BHF-UCL		P
UniProtKB	Q13542	EIF4EBP2	involved_in	GO:0035176	social behavior	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P70445	9606	UniProt		P
UniProtKB	Q13542	EIF4EBP2	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P70445|ensembl:ENSMUSP00000020288	9606	Ensembl		P
UniProtKB	Q15154	PCM1	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9R0L6|ensembl:ENSMUSP00000147887	9606	Ensembl		P
UniProtKB	Q16394	EXT1	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P97464|ensembl:ENSMUSP00000076505	9606	Ensembl		P
UniProtKB	Q5TCX1	TREM2	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q99NH8|ensembl:ENSMUSP00000108863	9606	Ensembl		P
UniProtKB	Q8IUM7	NPAS4	involved_in	GO:0035176	social behavior	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8BGD7	9606	UniProt		P
UniProtKB	Q8IUM7	NPAS4	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BGD7|ensembl:ENSMUSP00000062992	9606	Ensembl		P
UniProtKB	Q8N0W4	NLGN4X	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:19726642		9606	BHF-UCL		P
UniProtKB	Q8N0W4	NLGN4X	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:12669065		9606	UniProt		P
UniProtKB	Q8N122	RPTOR	involved_in	GO:0035176	social behavior	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8K4Q0	9606	UniProt		P
UniProtKB	Q8NFZ3	NLGN4Y	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:18628683		9606	BHF-UCL		P
UniProtKB	Q8NFZ4	NLGN2	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62888|ensembl:ENSRNOP00000053713	9606	Ensembl		P
UniProtKB	Q96NR3	PTCHD1	involved_in	GO:0035176	social behavior	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q14B62	9606	UniProt		P
UniProtKB	Q96NR3	PTCHD1	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q14B62|ensembl:ENSMUSP00000039443	9606	Ensembl		P
UniProtKB	Q96RK0	CIC	involved_in	GO:0035176	social behavior	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q924A2	9606	UniProt		P
UniProtKB	Q96RK4	BBS4	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8C1Z7|ensembl:ENSMUSP00000026265	9606	Ensembl		P
