GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A2AGI2	Nlgn3	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9NZ94|ensembl:ENSP00000351591	10090	Ensembl		P
UniProtKB	A2CG49	Kalrn	acts_upstream_of_or_within	GO:0035176	social behavior	ECO:0000315	IMP	PMID:19625617	MGI:MGI:4358076	10090	MGI		P
UniProtKB	B0F2B4	Nlgn4l	acts_upstream_of_or_within	GO:0035176	social behavior	ECO:0000315	IMP	PMID:18227507	MGI:MGI:3775814	10090	MGI		P
UniProtKB	B0F2B4	Nlgn4l	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:18227507		10090	BHF-UCL		P
UniProtKB	D3YZU1	Shank1	involved_in	GO:0035176	social behavior	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9Y566	10090	MGI		P
UniProtKB	D3YZU1	Shank1	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Y566|ensembl:ENSP00000293441	10090	Ensembl		P
UniProtKB	D3YZU1	Shank1	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:21695253		10090	BHF-UCL		P
UniProtKB	D3Z5K8	Shank2	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9UPX8|ensembl:ENSP00000469689	10090	Ensembl		P
UniProtKB	D3Z5K8	Shank2	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9QX74|ensembl:ENSRNOP00000065891	10090	Ensembl		P
UniProtKB	E9Q7X7	Nrxn2	involved_in	GO:0035176	social behavior	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9P2S2	10090	MGI		P
UniProtKB	E9Q7X7	Nrxn2	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9P2S2|ensembl:ENSP00000265459	10090	Ensembl		P
UniProtKB	E9QNF7	Cntnap2	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9UHC6|ensembl:ENSP00000354778	10090	Ensembl		P
UniProtKB	O08586	Pten	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:19208814		10090	CACAO		P
UniProtKB	O08586	Pten	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:16675393		10090	CACAO		P
UniProtKB	O08586	Pten	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:16675393		10090	BHF-UCL		P
UniProtKB	O08586	Pten	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:19208814		10090	BHF-UCL		P
UniProtKB	P09065	En1	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:17267560		10090	ParkinsonsUK-UCL		P
UniProtKB	P0C7T6	Atxn1l	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:28288114		10090	UniProt		P
UniProtKB	P0DI97	Nrxn1	involved_in	GO:0035176	social behavior	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9ULB1	10090	MGI		P
UniProtKB	P0DI97	Nrxn1	involved_in	GO:0035176	social behavior	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P58400	10090	MGI		P
UniProtKB	P10749	Il1b	involved_in	GO:0035176	social behavior	ECO:0000266	ISO	GO_REF:0000096	RGD:2891	10090	MGI		P
UniProtKB	P21729	Grpr	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:28280205		10090	UniProt		P
UniProtKB	P21729	Grpr	involved_in	GO:0035176	social behavior	ECO:0000266	ISO	GO_REF:0000096	RGD:2750	10090	MGI		P
UniProtKB	P21729	Grpr	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P52500|ensembl:ENSRNOP00000005559	10090	Ensembl		P
UniProtKB	P24529	Th	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P04177|ensembl:ENSRNOP00000027682	10090	Ensembl		P
UniProtKB	P35438	Grin1	acts_upstream_of_or_within	GO:0035176	social behavior	ECO:0000315	IMP	PMID:10481908	MGI:MGI:1928280	10090	MGI		P
UniProtKB	P35454	Oxt	involved_in	GO:0035176	social behavior	ECO:0000266	ISO	GO_REF:0000096	RGD:3238	10090	MGI		P
UniProtKB	P35454	Oxt	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01179|ensembl:ENSRNOP00000028829	10090	Ensembl		P
UniProtKB	P35455	Avp	involved_in	GO:0035176	social behavior	ECO:0000266	ISO	GO_REF:0000096	RGD:2184	10090	MGI		P
UniProtKB	P35455	Avp	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P01186|ensembl:ENSRNOP00000028833	10090	Ensembl		P
UniProtKB	P35922	Fmr1	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:31853066	MGI:MGI:4949738	10090	MGI		P
UniProtKB	P35922	Fmr1	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:31853066	MGI:MGI:2677631	10090	MGI		P
UniProtKB	P35922	Fmr1	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:31853066	MGI:MGI:1857169	10090	MGI		P
UniProtKB	P42859	Htt	acts_upstream_of_or_within	GO:0035176	social behavior	ECO:0000315	IMP	PMID:10196365	MGI:MGI:2177751	10090	MGI		P
UniProtKB	P48318	Gad1	acts_upstream_of_or_within	GO:0035176	social behavior	ECO:0000315	IMP	PMID:24952328	MGI:MGI:3762150	10090	MGI		P
UniProtKB	P51141	Dvl1	acts_upstream_of_or_within	GO:0035176	social behavior	ECO:0000315	IMP	PMID:9298901	MGI:MGI:2137230	10090	MGI		P
UniProtKB	P51141	Dvl1	acts_upstream_of_or_within	GO:0035176	social behavior	ECO:0000315	IMP	PMID:14960015	MGI:MGI:2137230	10090	MGI		P
UniProtKB	P54254	Atxn1	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:28288114		10090	UniProt		P
UniProtKB	P63078	Gng8	acts_upstream_of_or_within	GO:0035176	social behavior	ECO:0000315	IMP	PMID:23836683	MGI:MGI:5584308	10090	MGI		P
UniProtKB	P63080	Gabrb3	acts_upstream_of_or_within	GO:0035176	social behavior	ECO:0000315	IMP	PMID:17983671		10090	MGI		P
UniProtKB	P70323	Tbx1	acts_upstream_of_or_within	GO:0035176	social behavior	ECO:0000315	IMP	PMID:16684884	MGI:MGI:2179136	10090	MGI		P
UniProtKB	P70445	Eif4ebp2	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:23172145		10090	UniProt		P
UniProtKB	P70445	Eif4ebp2	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:20347422		10090	UniProt		P
UniProtKB	P70445	Eif4ebp2	involved_in	GO:0035176	social behavior	ECO:0000315	IMP	PMID:17029989		10090	UniProt		P
UniProtKB	P81615	Ucn	involved_in	GO:0035176	social behavior	ECO:0000266	ISO	GO_REF:0000096	RGD:3929	10090	MGI		P
UniProtKB	P81615	Ucn	involved_in	GO:0035176	social behavior	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P55090|ensembl:ENSRNOP00000008037	10090	Ensembl		P
