# SignalP-5.0	Organism: Eukarya	Timestamp: 20230728094043
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
ENSDART00000000192	OTHER	0.001206	0.998794	
ENSDART00000002401	OTHER	0.002053	0.997947	
ENSDART00000002767	OTHER	0.003597	0.996403	
ENSDART00000002773	OTHER	0.000553	0.999447	
ENSDART00000003143	OTHER	0.000568	0.999432	
ENSDART00000003303	OTHER	0.175660	0.824340	
ENSDART00000003475	OTHER	0.000651	0.999349	
ENSDART00000003826	OTHER	0.000659	0.999341	
ENSDART00000003845	OTHER	0.007666	0.992334	
ENSDART00000003922	SP(Sec/SPI)	0.510876	0.489124	CS pos: 21-22. LHS-SI. Pr: 0.1909
ENSDART00000004108	OTHER	0.002044	0.997956	
ENSDART00000004361	OTHER	0.022870	0.977130	
ENSDART00000004389	SP(Sec/SPI)	0.998469	0.001531	CS pos: 20-21. VEA-QH. Pr: 0.9737
ENSDART00000004797	OTHER	0.005351	0.994649	
ENSDART00000005431	OTHER	0.000602	0.999398	
ENSDART00000005696	OTHER	0.000320	0.999680	
ENSDART00000005857	OTHER	0.000680	0.999320	
ENSDART00000005906	OTHER	0.000300	0.999700	
ENSDART00000006288	OTHER	0.000390	0.999610	
ENSDART00000006622	OTHER	0.001415	0.998585	
ENSDART00000006910	OTHER	0.001849	0.998151	
ENSDART00000006998	SP(Sec/SPI)	0.998331	0.001669	CS pos: 16-17. SFC-DL. Pr: 0.8640
ENSDART00000007675	OTHER	0.002777	0.997223	
ENSDART00000007927	OTHER	0.001629	0.998371	
ENSDART00000008840	OTHER	0.001285	0.998715	
ENSDART00000009347	OTHER	0.000837	0.999163	
ENSDART00000010626	OTHER	0.001719	0.998281	
ENSDART00000010975	OTHER	0.026107	0.973893	
ENSDART00000010982	OTHER	0.001211	0.998789	
ENSDART00000011910	OTHER	0.004729	0.995271	
ENSDART00000012546	OTHER	0.001859	0.998141	
ENSDART00000012862	OTHER	0.002411	0.997589	
ENSDART00000012923	OTHER	0.000729	0.999271	
ENSDART00000013111	OTHER	0.001508	0.998492	
ENSDART00000013170	OTHER	0.002596	0.997404	
ENSDART00000013638	SP(Sec/SPI)	0.994358	0.005642	CS pos: 19-20. VNA-IA. Pr: 0.8567
ENSDART00000013717	OTHER	0.005541	0.994459	
ENSDART00000013861	OTHER	0.000774	0.999226	
ENSDART00000014350	OTHER	0.001879	0.998121	
ENSDART00000014440	SP(Sec/SPI)	0.939490	0.060510	CS pos: 28-29. GSA-IQ. Pr: 0.7571
ENSDART00000014465	OTHER	0.000354	0.999646	
ENSDART00000014582	OTHER	0.000354	0.999646	
ENSDART00000014774	OTHER	0.000674	0.999326	
ENSDART00000015159	OTHER	0.001334	0.998666	
ENSDART00000015628	OTHER	0.002732	0.997268	
ENSDART00000015786	OTHER	0.019919	0.980081	
ENSDART00000016139	OTHER	0.000763	0.999237	
ENSDART00000016351	OTHER	0.409857	0.590143	
ENSDART00000016430	OTHER	0.000601	0.999399	
ENSDART00000016602	OTHER	0.010318	0.989682	
ENSDART00000017090	SP(Sec/SPI)	0.994918	0.005082	CS pos: 17-18. CES-AR. Pr: 0.6135
ENSDART00000017155	SP(Sec/SPI)	0.998811	0.001189	CS pos: 19-20. VQS-RP. Pr: 0.9758
ENSDART00000017259	OTHER	0.000496	0.999504	
ENSDART00000017359	OTHER	0.007010	0.992990	
ENSDART00000017599	OTHER	0.001768	0.998232	
ENSDART00000017605	OTHER	0.000604	0.999396	
ENSDART00000018037	OTHER	0.000476	0.999524	
ENSDART00000018934	OTHER	0.000437	0.999563	
ENSDART00000019113	OTHER	0.001154	0.998846	
ENSDART00000019252	OTHER	0.000358	0.999642	
ENSDART00000019527	OTHER	0.003672	0.996328	
ENSDART00000019828	OTHER	0.000836	0.999164	
ENSDART00000019846	OTHER	0.003669	0.996331	
ENSDART00000020116	OTHER	0.000786	0.999214	
ENSDART00000020192	OTHER	0.000460	0.999540	
ENSDART00000020204	OTHER	0.000649	0.999351	
ENSDART00000020703	OTHER	0.001599	0.998401	
ENSDART00000020937	OTHER	0.000352	0.999648	
ENSDART00000021520	OTHER	0.000966	0.999034	
ENSDART00000022625	OTHER	0.000706	0.999294	
ENSDART00000023540	OTHER	0.000682	0.999318	
ENSDART00000023823	OTHER	0.001688	0.998312	
ENSDART00000023959	OTHER	0.000161	0.999839	
ENSDART00000024590	OTHER	0.280734	0.719266	
ENSDART00000024726	OTHER	0.027421	0.972579	
ENSDART00000024750	OTHER	0.000680	0.999320	
ENSDART00000024872	OTHER	0.000598	0.999402	
ENSDART00000025719	SP(Sec/SPI)	0.600603	0.399397	CS pos: 26-27. LRS-SP. Pr: 0.3096
ENSDART00000026316	SP(Sec/SPI)	0.997415	0.002585	CS pos: 18-19. CHG-NT. Pr: 0.9031
ENSDART00000026551	SP(Sec/SPI)	0.990611	0.009389	CS pos: 20-21. SFA-YD. Pr: 0.9386
ENSDART00000026694	OTHER	0.000783	0.999217	
ENSDART00000027022	SP(Sec/SPI)	0.831646	0.168354	CS pos: 21-22. CFG-FT. Pr: 0.4637
ENSDART00000027034	OTHER	0.000817	0.999183	
ENSDART00000027612	OTHER	0.000797	0.999203	
ENSDART00000027630	OTHER	0.079289	0.920711	
ENSDART00000027782	OTHER	0.000935	0.999065	
ENSDART00000027829	OTHER	0.001647	0.998353	
ENSDART00000028085	OTHER	0.001197	0.998803	
ENSDART00000028610	OTHER	0.005541	0.994459	
ENSDART00000028623	OTHER	0.001762	0.998238	
ENSDART00000028906	SP(Sec/SPI)	0.960466	0.039534	CS pos: 24-25. AYS-NY. Pr: 0.7972
ENSDART00000029308	SP(Sec/SPI)	0.999574	0.000426	CS pos: 24-25. SRA-DE. Pr: 0.9248
ENSDART00000029451	OTHER	0.002515	0.997485	
ENSDART00000030409	OTHER	0.000248	0.999752	
ENSDART00000030646	OTHER	0.003607	0.996393	
