GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A0G2KCN9	ehmt2	involved_in	GO:0006306	DNA methylation	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1924933|MGI:MGI:2148922|PANTHER:PTN002505142	7955	GO_Central		P
UniProtKB	A0A0R4IPN8	h2afvb	involved_in	GO:0043045	DNA methylation involved in embryo development	ECO:0000316	IGI	PMID:29099280	ZFIN:ZDB-GENE-990714-15	7955	ZFIN		P
UniProtKB	A0A0R4IPN8	h2afvb	involved_in	GO:0043045	DNA methylation involved in embryo development	ECO:0000315	IMP	PMID:29099280	ZFIN:ZDB-MRPHLNO-180507-2	7955	ZFIN		P
UniProtKB	A0A286Y8A4	tet1	involved_in	GO:0080111	DNA demethylation	ECO:0000318	IBA	PMID:21873635	FB:FBgn0263392|MGI:MGI:1098693|MGI:MGI:2443298|MGI:MGI:2446229|PANTHER:PTN004634693|UniProtKB:Q6N021|UniProtKB:Q8NFU7	7955	GO_Central		P
UniProtKB	A0A286Y8A4	tet1	involved_in	GO:0080111	DNA demethylation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR040175	7955	InterPro		P
UniProtKB	A0A286Y8A4	tet1	involved_in	GO:0080111	DNA demethylation	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001350777	7955	UniProt		P
UniProtKB	A0A286YAQ6	tet2	involved_in	GO:0080111	DNA demethylation	ECO:0000318	IBA	PMID:21873635	FB:FBgn0263392|MGI:MGI:1098693|MGI:MGI:2443298|MGI:MGI:2446229|PANTHER:PTN004634693|UniProtKB:Q6N021|UniProtKB:Q8NFU7	7955	GO_Central		P
UniProtKB	A0A286YAQ6	tet2	involved_in	GO:0080111	DNA demethylation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR040175	7955	InterPro		P
UniProtKB	A0A286YAQ6	tet2	involved_in	GO:0080111	DNA demethylation	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001350777	7955	UniProt		P
UniProtKB	A0A2R8PY24	fto	involved_in	GO:0035552	oxidative single-stranded DNA demethylation	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1347093|PANTHER:PTN002831213|UniProtKB:Q9C0B1	7955	GO_Central		P
UniProtKB	A0A2R8PY24	fto	involved_in	GO:0035552	oxidative single-stranded DNA demethylation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR032868	7955	InterPro		P
UniProtKB	A0A2R8PY24	fto	involved_in	GO:0006307	DNA dealkylation involved in DNA repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR032868	7955	InterPro		P
UniProtKB	A0A2R8PY36	A0A2R8PY36	involved_in	GO:0035552	oxidative single-stranded DNA demethylation	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1347093|PANTHER:PTN002831213|UniProtKB:Q9C0B1	7955	GO_Central		P
UniProtKB	A0A2R8PY36	A0A2R8PY36	involved_in	GO:0035552	oxidative single-stranded DNA demethylation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR032868	7955	InterPro		P
UniProtKB	A0A2R8PY36	A0A2R8PY36	involved_in	GO:0006307	DNA dealkylation involved in DNA repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR032868	7955	InterPro		P
UniProtKB	A0A2R8Q022	apobec2b	involved_in	GO:0080111	DNA demethylation	ECO:0000318	IBA	PMID:21873635	MGI:MGI:103298|PANTHER:PTN000355219|UniProtKB:P31941|UniProtKB:Q8IUX4|UniProtKB:Q9GZX7|UniProtKB:Q9NRW3|UniProtKB:Q9Y235	7955	GO_Central		P
UniProtKB	A0A2R8Q4R6	tet3	involved_in	GO:0080111	DNA demethylation	ECO:0000318	IBA	PMID:21873635	FB:FBgn0263392|MGI:MGI:1098693|MGI:MGI:2443298|MGI:MGI:2446229|PANTHER:PTN004634693|UniProtKB:Q6N021|UniProtKB:Q8NFU7	7955	GO_Central		P
UniProtKB	A0A2R8Q4R6	tet3	involved_in	GO:0080111	DNA demethylation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR040175	7955	InterPro		P
UniProtKB	A0A2R8Q4R6	tet3	involved_in	GO:0080111	DNA demethylation	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001350777	7955	UniProt		P
UniProtKB	A0A2R8Q5Y7	tet3	involved_in	GO:0080111	DNA demethylation	ECO:0000318	IBA	PMID:21873635	FB:FBgn0263392|MGI:MGI:1098693|MGI:MGI:2443298|MGI:MGI:2446229|PANTHER:PTN004634693|UniProtKB:Q6N021|UniProtKB:Q8NFU7	7955	GO_Central		P
UniProtKB	A0A2R8Q5Y7	tet3	involved_in	GO:0080111	DNA demethylation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR040175	7955	InterPro		P
UniProtKB	A0A2R8Q5Y7	tet3	involved_in	GO:0080111	DNA demethylation	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001350777	7955	UniProt		P
UniProtKB	A0A2R8QBD5	dnmt3bb.3	involved_in	GO:0090116	C-5 methylation of cytosine	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1261819|MGI:MGI:3649996|PANTHER:PTN002747452|UniProtKB:Q9UBC3	7955	GO_Central		P
UniProtKB	A0A2R8QBD5	dnmt3bb.3	enables	GO:0051718	DNA (cytosine-5-)-methyltransferase activity, acting on CpG substrates	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1261819|MGI:MGI:3649996|PANTHER:PTN002747452	7955	GO_Central		F
UniProtKB	A0A2R8QBD5	dnmt3bb.3	involved_in	GO:0006306	DNA methylation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR040552	7955	InterPro		P
UniProtKB	A0A2R8QBD5	dnmt3bb.3	enables	GO:0003886	DNA (cytosine-5-)-methyltransferase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.1.1.37	7955	UniProt		F
UniProtKB	A0A2R8QJK2	cxxc1b	involved_in	GO:0032776	DNA methylation on cytosine	ECO:0000315	IMP	PMID:17023431	ZFIN:ZDB-MRPHLNO-070207-1	7955	ZFIN		P
UniProtKB	A0A2R8QML7	dnmt3bb.1	involved_in	GO:0090116	C-5 methylation of cytosine	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1261819|MGI:MGI:3649996|PANTHER:PTN002747452|UniProtKB:Q9UBC3	7955	GO_Central		P
UniProtKB	A0A2R8QML7	dnmt3bb.1	enables	GO:0051718	DNA (cytosine-5-)-methyltransferase activity, acting on CpG substrates	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1261819|MGI:MGI:3649996|PANTHER:PTN002747452	7955	GO_Central		F
UniProtKB	A0A2R8QML7	dnmt3bb.1	involved_in	GO:0006306	DNA methylation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR040552	7955	InterPro		P
UniProtKB	A0A2R8QML7	dnmt3bb.1	enables	GO:0003886	DNA (cytosine-5-)-methyltransferase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.1.1.37	7955	UniProt		F
UniProtKB	A0A2R8QML7	dnmt3bb.1	involved_in	GO:0010424	DNA methylation on cytosine within a CG sequence	ECO:0000315	IMP	PMID:26814702	ZFIN:ZDB-MRPHLNO-160406-1	7955	ZFIN		P
UniProtKB	A0A2R8QQP4	ehmt1b	involved_in	GO:0006306	DNA methylation	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1924933|MGI:MGI:2148922|PANTHER:PTN002505142	7955	GO_Central		P
UniProtKB	A0A2R8RVC1	dnmt3bb.2	involved_in	GO:0090116	C-5 methylation of cytosine	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1261819|MGI:MGI:3649996|PANTHER:PTN002747452|UniProtKB:Q9UBC3	7955	GO_Central		P
UniProtKB	A0A2R8RVC1	dnmt3bb.2	enables	GO:0051718	DNA (cytosine-5-)-methyltransferase activity, acting on CpG substrates	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1261819|MGI:MGI:3649996|PANTHER:PTN002747452	7955	GO_Central		F
UniProtKB	A0A2R8RVC1	dnmt3bb.2	involved_in	GO:0006306	DNA methylation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR040552	7955	InterPro		P
UniProtKB	A0A2R8RVC1	dnmt3bb.2	enables	GO:0003886	DNA (cytosine-5-)-methyltransferase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.1.1.37	7955	UniProt		F
UniProtKB	A0A2R8RVC1	dnmt3bb.2	involved_in	GO:0032776	DNA methylation on cytosine	ECO:0000315	IMP	PMID:19946145	ZFIN:ZDB-MRPHLNO-050809-5	7955	ZFIN		P
UniProtKB	A0A2R8RZ82	tet2	involved_in	GO:0080111	DNA demethylation	ECO:0000318	IBA	PMID:21873635	FB:FBgn0263392|MGI:MGI:1098693|MGI:MGI:2443298|MGI:MGI:2446229|PANTHER:PTN004634693|UniProtKB:Q6N021|UniProtKB:Q8NFU7	7955	GO_Central		P
UniProtKB	A0A2R8RZ82	tet2	involved_in	GO:0080111	DNA demethylation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR040175	7955	InterPro		P
UniProtKB	A0A2R8RZ82	tet2	involved_in	GO:0080111	DNA demethylation	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001350777	7955	UniProt		P
UniProtKB	A0A2R9YJL5	dnmt3ba	involved_in	GO:0090116	C-5 methylation of cytosine	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1261819|MGI:MGI:3649996|PANTHER:PTN002747452|UniProtKB:Q9UBC3	7955	GO_Central		P
UniProtKB	A0A2R9YJL5	dnmt3ba	enables	GO:0051718	DNA (cytosine-5-)-methyltransferase activity, acting on CpG substrates	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1261819|MGI:MGI:3649996|PANTHER:PTN002747452	7955	GO_Central		F
UniProtKB	A0A2R9YJL5	dnmt3ba	involved_in	GO:0006306	DNA methylation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR040552	7955	InterPro		P
UniProtKB	A0A2R9YJL5	dnmt3ba	enables	GO:0003886	DNA (cytosine-5-)-methyltransferase activity	ECO:0000501	IEA	GO_REF:0000003	EC:2.1.1.37	7955	UniProt		F
UniProtKB	A0A2R9YJL5	dnmt3ba	involved_in	GO:0006306	DNA methylation	ECO:0000315	IMP	PMID:15937923	ZFIN:ZDB-MRPHLNO-050809-10	7955	ZFIN		P
UniProtKB	A0A2R9YJL5	dnmt3ba	involved_in	GO:0006306	DNA methylation	ECO:0000315	IMP	PMID:15937923	ZFIN:ZDB-MRPHLNO-050809-9	7955	ZFIN		P
UniProtKB	A0MTA1	apex1	involved_in	GO:0080111	DNA demethylation	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P27695	7955	UniProt		P
UniProtKB	A2AV36	prmt7	involved_in	GO:0043046	DNA methylation involved in gamete generation	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q922X9	7955	UniProt		P
UniProtKB	A2CEA2	tet3	involved_in	GO:0080111	DNA demethylation	ECO:0000318	IBA	PMID:21873635	FB:FBgn0263392|MGI:MGI:1098693|MGI:MGI:2443298|MGI:MGI:2446229|PANTHER:PTN004634693|UniProtKB:Q6N021|UniProtKB:Q8NFU7	7955	GO_Central		P
UniProtKB	A2CEA2	tet3	involved_in	GO:0080111	DNA demethylation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR040175	7955	InterPro		P
UniProtKB	A2CEA2	tet3	involved_in	GO:0080111	DNA demethylation	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001350777	7955	UniProt		P
UniProtKB	A2CEI6	piwil2	involved_in	GO:0043046	DNA methylation involved in gamete generation	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8CDG1	7955	UniProt		P
