"","zfin_id_symbol","Mouse.Symbol"
"1","ppardb","Ppard"
"8","igfbp2a","Igfbp2"
"14","dbx1b","Dbx1"
"17","dbx1a","Dbx1"
"22","pbx4","Pbx4"
"25","calr3a","Calr3"
"27","urod","Urod"
"29","mixl1","Mixl1"
"31","kifc1","Kifc1"
"36","col11a2","Col11a2"
"38","bmp7a","Bmp7"
"40","zic1","Zic1"
"45","copg2","Copg2"
"47","robo1","Robo1"
"48","robo3","Robo3"
"51","nccrp1","Nccrp1"
"53","btg2","Btg2"
"54","cat","Cat"
"56","inhbaa","Inhba"
"57","meis2b","Meis2"
"60","khdrbs1a","Khdrbs1"
"62","vdra","Vdr"
"68","nme2b.1","Nme2"
"70","nme2b.2","Nme2"
"72","nme3","Nme3"
"74","nme7","Nme7"
"77","twist1a","Twist1"
"80","pcna","Pcna"
"82","phox2a","Phox2a"
"84","igf2bp3","Igf2bp3"
"86","actc1b","Actc1"
"90","tnnt3a","Tnnt3"
"92","tbr1b","Tbr1"
"100","fzd8a","Fzd8"
"102","fzd8b","Fzd8"
"103","hoxc9a","Hoxc9"
"105","hoxc12b","Hoxc12"
"106","hoxb7a","Hoxb7"
"107","notch2","Notch2"
"109","notch3","Notch3"
"111","actn3a","Actn3"
"114","trpc4apb","Trpc4ap"
"116","trpc4apa","Trpc4ap"
"119","stx1b","Stx1b"
"121","psen2","Psen2"
"122","axin1","Axin1"
"124","axin2","Axin2"
"127","pbx1a","Pbx1"
"128","pbx3b","Pbx3"
"130","pbx2","Pbx2"
"132","dazl","Dazl"
"134","ccnb1","Ccnb1"
"135","copz2","Copz2"
"137","copz1","Copz1"
"140","bdnf","Bdnf"
"142","tbx20","Tbx20"
"145","celf1","Celf1"
"148","celf3a","Celf3"
"150","bmpr1aa","Bmpr1a"
"152","dct","Dct"
"154","arntl1a","Arntl"
"160","arntl2","Arntl2"
"166","smad3a","Smad3"
"167","hand2","Hand2"
"170","pycard","Pycard"
"173","dap","Dap"
"175","baxa","Bax"
"176","mcl1a","Mcl1"
"178","slc40a1","Slc40a1"
"181","fbxw4","Fbxw4"
"185","pou4f1","Pou4f1"
"189","slc34a2a","Slc34a2"
"191","hey2","Hey2"
"192","runx1","Runx1"
"195","runx3","Runx3"
"197","pcdh18a","Pcdh18"
"199","sox5","Sox5"
"201","adgrl2a","Adgrl2"
"203","kat6b","Kat6b"
"205","tlcd5a","Tlcd5"
"207","evla","Evl"
"209","hey1","Hey1"
"210","noc2l","Noc2l"
"212","si:ch211-285f17.1","Etl4"
"214","wwp2","Wwp2"
"216","badb","Bad"
"218","stk19","Stk19"
"220","appa","App"
"223","foxh1","Foxh1"
"225","hsf1","Hsf1"
"228","apaf1","Apaf1"
"230","adar","Adar"
"234","myf5","Myf5"
"237","prph2a","Prph2"
"239","prph2b","Prph2"
"241","cxcl14","Cxcl14"
"243","gata6","Gata6"
"247","tnnt2a","Tnnt2"
"251","fabp7a","Fabp7"
"257","adarb1a","Adarb1"
"260","ngfb","Ngf"
"261","ybx1","Ybx1"
"263","gpr85","Gpr85"
"265","nme6","Nme6"
"267","zic2a","Zic2"
"270","casp8","Casp8"
"273","per3","Per3"
"277","fgfr3","Fgfr3"
"282","hoxc6b","Hoxc6"
"284","hoxc11b","Hoxc11"
"286","hoxc13a","Hoxc13"
"290","hoxc13b","Hoxc13"
"292","hoxc12a","Hoxc12"
"293","hoxa9a","Hoxa9"
"294","hoxa9b","Hoxa9"
"296","hoxa3a","Hoxa3"
"297","hoxa4a","Hoxa4"
"301","hoxa1a","Hoxa1"
"303","hoxb5b","Hoxb5"
"307","hoxb6b","Hoxb6"
"310","hoxa11a","Hoxa11"
"315","hoxa5a","Hoxa5"
"318","scn8aa","Scn8a"
"321","nkx2.4b","Nkx2-4"
"323","pcxb","Pcx"
"325","fth1a","Fth1"
"328","slc3a2a","Slc3a2"
"330","dnajc3b","Dnajc3"
"331","cd81a","Cd81"
"333","pim2","Pim2"
"335","cd74a","Cd74"
"337","sptb","Sptb"
"338","hspe1","Hspe1"
"340","ctnnbip1","Ctnnbip1"
"342","fzd9b","Fzd9"
"345","edn1","Edn1"
"347","atoh7","Atoh7"
"348","fgf4","Fgf4"
"349","hmx3a","Hmx3"
"353","pax5","Pax5"
"355","pax8","Pax8"
"357","pax2b","Pax2"
"360","pax6b","Pax6"
"363","nos1","Nos1"
"367","sox9a","Sox9"
"370","sox9b","Sox9"
"372","fezf2","Fezf2"
"375","cyp19a1b","Cyp19a1"
"380","cldn7b","Cldn7"
"381","wnt3a","Wnt3a"
"384","lima1a","Lima1"
"385","stard3","Stard3"
"387","star","Star"
"389","atp1b3b","Atp1b3"
"391","atp1b2a","Atp1b2"
"392","atp1b1a","Atp1b1"
"395","atp1b1b","Atp1b1"
"397","plp1a","Plp1"
"399","csf1ra","Csf1r"
"405","gch2","Gch1"
"406","ctsk","Ctsk"
"409","lbx2","Lbx2"
"412","arnt2","Arnt2"
"416","psmb9b","Psmb9"
"417","psmb7","Psmb7"
"418","atp1a1a.1","Atp1a1"
"422","atp1a1a.2","Atp1a1"
"424","atp1a1a.3","Atp1a1"
"426","atp1a1a.4","Atp1a1"
"428","atp1a1b","Atp1a1"
"431","atp1a2a","Atp1a2"
"433","atp1a3a","Atp1a3"
"436","atp1a3b","Atp1a3"
"439","htatip2","Htatip2"
"442","nrf1","Nrf1"
"444","vsx2","Vsx2"
"445","eomesa","Eomes"
"451","s1pr1","S1pr1"
"453","alas2","Alas2"
