GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A077CZD0	gtpbp3	involved_in	GO:0006400	tRNA modification	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004520	7955	InterPro		P
UniProtKB	A0A077D3Q6	gtpbp3	involved_in	GO:0006400	tRNA modification	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004520	7955	InterPro		P
UniProtKB	A0A0A0MPU6	mepcea	enables	GO:0008173	RNA methyltransferase activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR001419756	7955	UniProt		F
UniProtKB	A0A0A0MPU6	mepcea	involved_in	GO:0001510	RNA methylation	ECO:0000366	IEA	GO_REF:0000108	GO:0008173	7955	GOC		P
UniProtKB	A0A0R4I9B6	trmt2b	enables	GO:0008173	RNA methyltransferase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010280	7955	InterPro		F
UniProtKB	A0A0R4I9B6	trmt2b	enables	GO:0030697	S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR025823	7955	InterPro		F
UniProtKB	A0A0R4I9B6	trmt2b	involved_in	GO:0030488	tRNA methylation	ECO:0000366	IEA	GO_REF:0000108	GO:0030697	7955	GOC		P
UniProtKB	A0A0R4I9B6	trmt2b	involved_in	GO:0001510	RNA methylation	ECO:0000366	IEA	GO_REF:0000108	GO:0008173	7955	GOC		P
UniProtKB	A0A0R4IAI1	si:ch211-79l20.4	involved_in	GO:0080009	mRNA methylation	ECO:0000318	IBA	PMID:21873635	FB:FBgn0003977|PANTHER:PTN000573153|TAIR:locus:2078082|UniProtKB:Q69YN4	7955	GO_Central		P
UniProtKB	A0A0R4IAT4	nsun6	involved_in	GO:0001510	RNA methylation	ECO:0000318	IBA	PMID:21873635	MGI:MGI:2140844|PANTHER:PTN000515868|SGD:S000004967|SGD:S000005005|UniProtKB:P36929|UniProtKB:P76273|UniProtKB:Q60343|UniProtKB:Q8TEA1|UniProtKB:Q96P11|WB:WBGene00013151	7955	GO_Central		P
UniProtKB	A0A0R4IAT4	nsun6	involved_in	GO:0001510	RNA methylation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR023267	7955	InterPro		P
UniProtKB	A0A0R4IC36	adarb2	involved_in	GO:0006382	adenosine to inosine editing	ECO:0000318	IBA	PMID:21873635	FB:FBgn0026086|MGI:MGI:1889575|MGI:MGI:891999|PANTHER:PTN000098822|RGD:2033|UniProtKB:P55265|UniProtKB:P78563|WB:WBGene00000079|WB:WBGene00000080	7955	GO_Central		P
UniProtKB	A0A0R4ID18	trmt13	enables	GO:0008175	tRNA methyltransferase activity	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000313293|SGD:S000005485|UniProtKB:Q10B19	7955	GO_Central		F
UniProtKB	A0A0R4ID18	trmt13	involved_in	GO:0030488	tRNA methylation	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000313293|SGD:S000005485|UniProtKB:Q10B19	7955	GO_Central		P
UniProtKB	A0A0R4ID18	trmt13	involved_in	GO:0030488	tRNA methylation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR039044	7955	InterPro		P
