#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENSDART00000003335	1865	163	0.34967	7.848848533630372	1	0.821226	coding
ENSDART00000004108	3453	1151	0.42942	4.919039726257323	1	1	coding
ENSDART00000005857	2961	870	0.34673	8.291101646423343	1	1	coding
ENSDART00000007500	2977	795	0.48684	5.613782691955566	1	1	coding
ENSDART00000008988	6604	526	0.35415	4.6367204666137685	1	1	coding
ENSDART00000011082	6777	1399	0.3509	5.960443687438965	1	1	coding
ENSDART00000013111	3670	1085	0.47182	5.583544349670409	1	1	coding
ENSDART00000016422	2956	476	0.40957	6.346778297424316	1	1	coding
ENSDART00000016464	2871	323	0.42158	6.194563484191894	1	0.999999	coding
ENSDART00000019113	958	214	0.38946	9.137958335876466	1	0.990891	coding
ENSDART00000019898	897	197	0.46414999999999995	9.671627616882326	1	0.997322	coding
ENSDART00000023766	3751	867	0.38905	4.830427742004394	1	1	coding
ENSDART00000024358	1149	253	0.4856	5.740704154968263	1	0.999973	coding
ENSDART00000027982	5595	1865	0.47274999999999995	5.083645439147948	1	1	coding
ENSDART00000028566	951	317	0.45753	8.855844688415527	1	0.999997	coding
ENSDART00000035522	5095	677	0.38084	7.06408634185791	1	1	coding
ENSDART00000037553	2352	533	0.44848000000000005	7.217437934875489	1	1	coding
ENSDART00000039822	3619	565	0.45084	8.933013343811037	1	1	coding
ENSDART00000044423	1078	113	0.46718	9.606385612487792	1	0.777111	coding
ENSDART00000044559	3741	819	0.47679	6.091343879699706	1	1	coding
ENSDART00000047442	6522	1778	0.4192	6.667975425720216	1	1	coding
ENSDART00000048855	2615	628	0.43396	8.952095985412601	1	1	coding
ENSDART00000051186	1718	238	0.44881999999999994	5.5469968795776365	1	0.999937	coding
ENSDART00000051549	2211	375	0.36771	6.377130317687987	1	1	coding
ENSDART00000052063	369	70	0.36892	10.697126197814942	1	0.0693445	noncoding
ENSDART00000056432	7250	1913	0.42904000000000003	6.353030586242675	1	1	coding
ENSDART00000056745	3731	709	0.42555	6.71930103302002	1	1	coding
ENSDART00000059262	2485	548	0.46477	5.830509757995605	1	1	coding
ENSDART00000059402	1268	167	0.37817	5.224151420593261	1	0.980547	coding
ENSDART00000061981	2116	237	0.33337000000000006	9.110494804382324	1	0.976541	coding
ENSDART00000062560	5265	984	0.37803	6.002220344543456	1	1	coding
ENSDART00000065122	4128	1016	0.4851	5.719048500061036	1	1	coding
ENSDART00000065411	3116	847	0.4541	6.378267097473144	1	1	coding
ENSDART00000074384	2055	298	0.41423	5.833408546447754	1	0.999997	coding
ENSDART00000074567	2480	700	0.47925	9.100502204895019	1	1	coding
ENSDART00000078221	6560	550	0.34547000000000005	4.600002479553221	1	1	coding
ENSDART00000078540	6276	2092	0.447	6.388952827453613	1	1	coding
ENSDART00000082319	1321	241	0.43622999999999995	7.573591041564942	1	0.999766	coding
ENSDART00000087300	3594	533	0.40493999999999997	9.13853855133057	1	1	coding
ENSDART00000097244	1198	297	0.46324000000000004	6.521330833435059	1	0.999998	coding
ENSDART00000099023	1857	585	0.4462	7.644526100158691	1	1	coding
ENSDART00000099903	2720	537	0.4556	6.335524177551269	1	1	coding
ENSDART00000100417	3271	436	0.35573999999999995	6.55065975189209	1	1	coding
ENSDART00000100965	1928	167	0.32498	9.365725135803224	1	0.641398	coding
ENSDART00000101198	2693	664	0.46627	8.922698402404787	1	1	coding
ENSDART00000102106	5966	1797	0.44273999999999997	6.515874290466309	1	1	coding
ENSDART00000102279	1876	608	0.40903	9.481316947937014	1	1	coding
ENSDART00000102658	2608	823	0.38521	8.699444389343263	1	1	coding
ENSDART00000103161	1904	381	0.48434	7.634295082092286	1	1	coding
ENSDART00000103969	5488	1248	0.45086	5.497887992858886	1	1	coding
ENSDART00000103997	1838	439	0.40413	9.356183815002442	1	1	coding
ENSDART00000109537	2043	681	0.45344999999999996	5.174644660949705	1	1	coding
ENSDART00000109573	7551	2144	0.43075	5.144008445739746	1	1	coding
ENSDART00000109620	2021	421	0.45581	5.901558494567872	1	1	coding
ENSDART00000110204	8698	2101	0.40554	6.514851188659668	1	1	coding
ENSDART00000110884	6259	1025	0.36414	7.212379264831544	1	1	coding
ENSDART00000111190	1114	133	0.34787	9.299580574035645	1	0.436912	noncoding
ENSDART00000111506	1999	363	0.37585	8.514678001403809	1	0.999994	coding
ENSDART00000112152	2521	328	0.42081	6.644955635070801	1	0.999999	coding
ENSDART00000112453	6303	2101	0.447	6.514851188659668	1	1	coding
ENSDART00000112469	6846	2106	0.49028	5.510278892517088	1	1	coding
ENSDART00000112579	2627	584	0.45770999999999995	4.825312232971191	1	1	coding
ENSDART00000113266	4006	537	0.41562	8.831153297424319	1	1	coding
ENSDART00000114083	4010	1167	0.49965999999999994	5.774239158630371	1	1	coding
ENSDART00000122665	2375	710	0.39063	9.59052639007568	1	1	coding
ENSDART00000123278	6933	2092	0.43289	6.388952827453613	1	1	coding
ENSDART00000123759	4332	1189	0.45299	5.870808601379394	1	1	coding
ENSDART00000124181	7848	1436	0.40084000000000003	6.4070844650268555	1	1	coding
ENSDART00000124584	6344	2114	0.49473999999999996	5.469468498229981	1	1	coding
ENSDART00000124704	2045	585	0.46465	7.644526100158691	1	1	coding
ENSDART00000124740	7903	1506	0.41355	6.449600028991698	1	1	coding
ENSDART00000127454	2012	518	0.4051	8.76146297454834	1	1	coding
ENSDART00000127834	4058	1219	0.44044	6.2219030380249025	1	1	coding
ENSDART00000128783	4212	518	0.39554999999999996	5.829657173156738	1	1	coding
ENSDART00000130059	1351	317	0.42823	5.384607887268066	1	1	coding
ENSDART00000131113	4206	1382	0.46335	6.099187660217283	1	1	coding
ENSDART00000131417	753	193	0.49324	9.060144996643068	-1	0.299931	noncoding
ENSDART00000131431	774	191	0.32873	9.708116722106933	-1	0.178271	noncoding
ENSDART00000131809	757	174	0.44199	5.044028663635253	-1	0.186531	noncoding
ENSDART00000131985	846	184	0.35492	9.409757041931151	-1	0.18745	noncoding
ENSDART00000132361	1177	277	0.44588	6.464037132263183	-1	0.490951	noncoding
ENSDART00000132584	2576	518	0.42411000000000004	5.829657173156738	1	1	coding
ENSDART00000132675	719	140	0.42833000000000004	9.129899787902833	-1	0.1445	noncoding
ENSDART00000132677	738	162	0.47347	5.367840385437011	-1	0.171815	noncoding
ENSDART00000132834	874	171	0.33258	9.250906944274899	-1	0.175207	noncoding
ENSDART00000132997	311	36	0.39849	4.426984596252441	1	0.0263014	noncoding
ENSDART00000133063	1017	339	0.43332	5.368067741394043	-1	0.774893	coding
ENSDART00000133108	588	182	0.44463	9.010826683044431	-1	0.218428	noncoding
ENSDART00000133109	510	70	0.44966	10.697126197814942	1	0.209566	noncoding
ENSDART00000133128	789	233	0.46782	10.004542350769043	-1	0.439195	noncoding
ENSDART00000133478	2207	161	0.36432	6.759486198425294	1	0.904332	coding
ENSDART00000133550	1707	362	0.39006	5.041584587097168	1	1	coding
ENSDART00000133762	1784	591	0.47759	8.587333869934085	1	1	coding
ENSDART00000133794	664	107	0.43744999999999995	8.475094413757326	-1	0.0842815	noncoding
ENSDART00000134068	733	116	0.35457000000000005	5.742920875549316	1	0.509236	coding
ENSDART00000134087	6466	1332	0.45186	5.4243383407592765	1	1	coding
ENSDART00000134291	195	6	0.35706000000000004	5.2226167678832995	1	1.20304e-05	noncoding
ENSDART00000134404	882	152	0.42719999999999997	9.426325416564943	1	0.92194	coding
ENSDART00000135083	802	191	0.43692000000000003	9.161424827575683	-1	0.235664	noncoding
ENSDART00000135298	498	86	0.41929000000000005	9.626564216613769	1	0.232002	noncoding
ENSDART00000135311	708	87	0.42213	7.846463203430177	1	0.222484	noncoding
ENSDART00000135394	1110	219	0.35281000000000007	4.98281307220459	-1	0.210359	noncoding
ENSDART00000135655	1335	146	0.39666999999999997	11.852915382385255	1	0.618636	coding
ENSDART00000135824	912	194	0.45357	5.740078926086426	-1	0.22938	noncoding
ENSDART00000135934	2204	370	0.36771	6.636713981628419	1	0.999999	coding
ENSDART00000136060	424	139	0.47353999999999996	5.029648399353028	-1	0.131019	noncoding
ENSDART00000136356	1195	289	0.35841	9.095409202575684	-1	0.28291	noncoding
ENSDART00000136492	955	234	0.373	6.315630531311036	1	0.999055	coding
ENSDART00000136555	9474	2541	0.47746	5.354312705993652	1	1	coding
ENSDART00000136618	408	112	0.44034999999999996	10.288783454895018	-1	0.167483	noncoding
ENSDART00000137347	341	92	0.46752	9.250262260437012	-1	0.0971077	noncoding
ENSDART00000137912	947	253	0.4530200000000001	8.740510749816895	-1	0.403936	noncoding
ENSDART00000138036	750	171	0.45508000000000004	10.236112785339355	-1	0.274512	noncoding
ENSDART00000138554	4519	1151	0.46803	4.919039726257323	1	1	coding
ENSDART00000139047	3496	843	0.38626	4.748863792419433	1	1	coding
ENSDART00000139378	697	80	0.44178	9.250068855285644	1	0.233311	noncoding
ENSDART00000139723	541	71	0.43621999999999994	5.727346992492676	1	0.156979	noncoding
ENSDART00000139806	944	66	0.4021	9.615991401672364	1	0.0769188	noncoding
ENSDART00000139963	2183	493	0.46309999999999996	7.247221565246583	1	1	coding
ENSDART00000140681	636	120	0.44933999999999996	5.707680702209472	1	0.842111	coding
ENSDART00000140703	1020	288	0.47417000000000004	4.680372810363769	-1	0.756843	coding
ENSDART00000140803	3156	793	0.45892000000000005	5.793905448913574	1	1	coding
ENSDART00000140811	3414	284	0.28334000000000004	8.410626029968267	1	0.983008	coding
ENSDART00000140874	867	57	0.44523999999999997	9.299773979187012	1	0.0821275	noncoding
ENSDART00000141099	909	120	0.41384	4.0500284194946286	-1	0.0751883	noncoding
ENSDART00000141421	726	225	0.46303	6.593232154846191	1	0.999746	coding
ENSDART00000141505	506	140	0.42000999999999994	9.898878669738767	-1	0.176453	noncoding
ENSDART00000142228	1058	316	0.43167	4.624954795837403	-1	0.761951	coding
ENSDART00000142337	3051	605	0.3621	5.809706687927247	1	1	coding
ENSDART00000142367	959	139	0.37722	6.8237710952758786	1	0.777079	coding
ENSDART00000142429	933	236	0.38041	4.9650793075561515	-1	0.276934	noncoding
ENSDART00000142465	9428	2269	0.46052	6.009723091125487	1	1	coding
ENSDART00000143545	563	85	0.4086699999999999	4.801667213439941	-1	0.0361294	noncoding
ENSDART00000143569	897	246	0.41093999999999997	8.897233390808108	-1	0.305279	noncoding
ENSDART00000143732	1398	72	0.33371	10.02620372772217	1	0.0523882	noncoding
ENSDART00000143964	866	194	0.40776999999999997	9.048927497863769	-1	0.21098	noncoding
ENSDART00000144188	719	146	0.45531000000000005	5.1476461410522445	1	0.977249	coding
ENSDART00000144272	1881	466	0.44974	7.735980033874512	1	1	coding
ENSDART00000144281	864	189	0.47383	8.987875938415527	1	0.996835	coding
ENSDART00000144312	2576	755	0.48162	5.920201683044433	-1	0.999865	coding
ENSDART00000144379	1401	305	0.34475	8.943392753601074	1	0.999296	coding
ENSDART00000144386	795	186	0.42852000000000007	9.402085304260254	-1	0.228268	noncoding
ENSDART00000144499	448	76	0.39369	6.229348945617676	-1	0.0347045	noncoding
ENSDART00000144612	620	119	0.46606000000000003	8.669466590881349	-1	0.107626	noncoding
ENSDART00000144677	718	133	0.47418	10.111559867858883	1	0.931779	coding
ENSDART00000144821	637	199	0.45238	6.000742530822753	-1	0.233036	noncoding
ENSDART00000145647	405	60	0.41261000000000003	9.475643730163576	-1	0.0829391	noncoding
ENSDART00000145809	640	76	0.37025	5.257800102233887	1	0.133314	noncoding
ENSDART00000145902	497	86	0.41929000000000005	9.626564216613769	1	0.232002	noncoding
ENSDART00000145905	1485	434	0.45278	6.247139549255372	1	1	coding
ENSDART00000145995	582	151	0.40601000000000004	9.823579597473145	1	0.860562	coding
ENSDART00000146011	859	203	0.45248	4.626432609558106	-1	0.339118	noncoding
ENSDART00000146480	5100	677	0.38084	7.06408634185791	1	1	coding
ENSDART00000146490	5146	51	0.26243000000000005	8.933593559265141	1	0.0221363	noncoding
ENSDART00000146541	1710	296	0.49141999999999997	7.7578630447387695	1	0.999997	coding
ENSDART00000146737	801	112	0.3621	9.521158409118652	-1	0.143893	noncoding
ENSDART00000146859	1945	506	0.43576	9.837698173522949	1	1	coding
ENSDART00000147375	2135	152	0.36377000000000004	5.788733100891113	1	0.908032	coding
ENSDART00000147538	753	42	0.35704	5.936514472961425	1	0.0133011	noncoding
ENSDART00000147619	948	217	0.47353	4.638311958312988	1	0.999867	coding
ENSDART00000147877	752	133	0.39438	5.895533561706543	1	0.843616	coding
ENSDART00000147913	966	284	0.45532999999999996	5.681875801086425	-1	0.600863	coding
ENSDART00000148368	444	43	0.33466999999999997	5.987044334411621	-1	0.0377821	noncoding
ENSDART00000148678	812	199	0.46581	5.41569881439209	-1	0.280519	noncoding
ENSDART00000148728	2327	491	0.43213	4.830427742004394	1	1	coding
