"zfin_id_symbol","human.Symbol","ensembl_gene_id","entrezgene_id"
"ppardb","PPARD","ENSG00000112033",5467
"igfbp2a","IGFBP2","ENSG00000115457",3485
"dlc","DLL3","ENSG00000090932",10683
"dbx1b","DBX1","ENSG00000109851",120237
"dbx2","DBX2","ENSG00000185610",440097
"dbx1a","DBX1","ENSG00000109851",120237
"anos1b","ANOS1","ENSG00000011201",3730
"pbx4","PBX4","ENSG00000105717",80714
"anos1a","ANOS1","ENSG00000011201",3730
"calr3a","CALR3","ENSG00000269058",125972
"urod","UROD","ENSG00000126088",7389
"mixl1","MIXL1","ENSG00000185155",83881
"kifc1","KIFC1","ENSG00000056678",NA
"kifc1","KIFC1","ENSG00000233450",3833
"kifc1","KIFC1","ENSG00000204197",3833
"kifc1","KIFC1","ENSG00000237649",3833
"col11a2","COL11A2","ENSG00000223699",1302
"col11a2","COL11A2","ENSG00000230930",1302
"col11a2","COL11A2","ENSG00000235708",1302
"col11a2","COL11A2","ENSG00000232541",1302
"col11a2","COL11A2","ENSG00000206290",1302
"col11a2","COL11A2","ENSG00000227801",1302
"col11a2","COL11A2","ENSG00000204248",1302
"bmp7a","BMP7","ENSG00000101144",655
"ccl27a","CCL27","ENSG00000213927",10850
"zic1","ZIC1","ENSG00000152977",7545
"copg2","COPG2","ENSG00000158623",26958
"robo1","ROBO1","ENSG00000169855",6091
"robo3","ROBO3","ENSG00000154134",64221
"tpst1","TPST1","ENSG00000169902",8460
"nccrp1","NCCRP1","ENSG00000188505",342897
"btg2","BTG2","ENSG00000159388",7832
"elavl1b","ELAVL1","ENSG00000066044",1994
"rbp4","RBP4","ENSG00000138207",5950
"cat","CAT","ENSG00000121691",847
"inhbaa","INHBA","ENSG00000122641",3624
"meis2b","MEIS2","ENSG00000134138",4212
"khdrbs1a","KHDRBS1","ENSG00000121774",10657
"vdra","VDR","ENSG00000111424",7421
"nme2b.1","NME2","ENSG00000243678",4831
"nme2b.2","NME2","ENSG00000243678",4831
"nme3","NME3","ENSG00000103024",4832
