GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A077CZD0	gtpbp3	involved_in	GO:0006400	tRNA modification	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004520	7955	InterPro		P
UniProtKB	A0A077CZD0	gtpbp3	involved_in	GO:0008033	tRNA processing	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0819	7955	UniProt		P
UniProtKB	A0A077D3Q6	gtpbp3	involved_in	GO:0006400	tRNA modification	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004520	7955	InterPro		P
UniProtKB	A0A077D3Q6	gtpbp3	involved_in	GO:0008033	tRNA processing	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0819	7955	UniProt		P
UniProtKB	A0A0B6VLS4	dhx37	involved_in	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000433605|SGD:S000004735	7955	GO_Central		P
UniProtKB	A0A0G2KC81	fkbp6	involved_in	GO:0034587	piRNA processing	ECO:0000318	IBA	PMID:21873635	FB:FBgn0003401|MGI:MGI:2137612|PANTHER:PTN000828519	7955	GO_Central		P
UniProtKB	A0A0G2KC81	fkbp6	involved_in	GO:0034587	piRNA processing	ECO:0000318	IBA	PMID:21873635	FB:FBgn0003401|MGI:MGI:2137612|PANTHER:PTN000828519	7955	GO_Central		P
UniProtKB	A0A0G2KC81	fkbp6	involved_in	GO:0034587	piRNA processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR042282	7955	InterPro		P
UniProtKB	A0A0G2KGY0	rnps1	involved_in	GO:0000398	mRNA splicing, via spliceosome	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000397856|TAIR:locus:2017948|UniProtKB:Q15020|ZFIN:ZDB-GENE-040724-10	7955	GO_Central		P
UniProtKB	A0A0G2KIT7	A0A0G2KIT7	involved_in	GO:0006397	mRNA processing	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033489	7955	InterPro		P
UniProtKB	A0A0G2KNZ3	rpp25a	involved_in	GO:0001682	tRNA 5'-leader removal	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000338007|UniProtKB:Q9BUL9	7955	GO_Central		P
UniProtKB	A0A0G2KNZ3	rpp25a	involved_in	GO:0001682	tRNA 5'-leader removal	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR040207	7955	InterPro		P
